Sale_ID,Store_Code,Branch,Province,Region,Product_Name,Category,Sale_Date,Quantity,Unit_Price,Discount_Percent
SALE-00264,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Cookie Box,Bakery,2026-03-15,4,150.00,10
SALE-00077,PKT-01,Phuket Town, Phuket ,,TRAVEL MUG,Merchandise,14-May-2026,4,320.00,5
SALE-00221,CBI-01,Bangsaen,Chonburi,East,Tote Bag,Merchandise,06-May-2026,6,180.00,15
SALE-00150,PKT-01,Phuket Town,Phuket,South,caesar salad,Food,26-Mar-2026,2,110.00,0
SALE-00084,PKT-01,Phuket Town,PHUKET,South,Mineral Water,Beverage,01-May-2026,6,25.00,10
SALE-00220,BKK-02,Siam Square,Bangkok,Central,Chocolate Cake,Bakery,04-May-2026,6,114.00,10
SALE-00124,CMI-01,nimman,Chiang Mai,North,Travel Mug,Merchandise,13-Mar-2026,2,320.00,0
SALE-00032,PKT-01,Phuket Town,Phuket,South,cookie box, Bakery ,29-Apr-2026,8,157.50,0
SALE-00271,BKK-02,Siam Square,Bangkok,Central,Thai Milk Tea,Beverage,2026-06-28,1,70.00,0
SALE-00047,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Tote Bag,Merchandise,17/05/2026,4,189.00,0
SALE-00223,BKK-01,Central Rama 9,Bangkok,Central,Chicken Sandwich,Food,29/04/2026,3,95.00,0
SALE-00023,CMI-01,Nimman,Chiang Mai,North,Thai Milk Tea,Beverage,20/06/2026,6,73.50,0
SALE-00204,BKK-02,Siam Square,Bangkok,Central,Caesar Salad, Food ,14-Apr-2026,5,110.00,0
SALE-00201,BKK-01,Central Rama 9,Bangkok,Central,Butter Croissant,Bakery,24/05/2026,1,65.00,15
SALE-00134,BKK-01,CENTRAL RAMA 9,Bangkok,Central,Premium Coffee,Beverage,14/03/2026,1,85.00,10
SALE-00165,BKK-01,Central Rama 9,Bangkok,Central,Thai Milk Tea,Beverage,11-Apr-2026,3,66.50,0
SALE-00251,RYG-01,Rayong City,Rayong,East,Chocolate Cake,Bakery,08/06/2026,3,114.00,10
SALE-00243,RYG-01,Rayong City,RAYONG,East,Caesar Salad,Food,2026-05-14,1,110.00,5
SALE-00009,CBI-01,Bangsaen, Chonburi ,East,Chicken Sandwich,Food,18/05/2026,2,95.00,5
SALE-00254,CBI-02, Pattaya ,Chonburi,East,Chicken Sandwich,Food,10-Apr-2026,6,95.00,0
SALE-00215,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Mineral Water,Beverage,2026-04-15,1,25.00,15
SALE-00195,PKT-01,Phuket Town,PHUKET,South,Premium Coffee,Beverage,18/06/2026,2,85.00,15
SALE-00277,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Chocolate Cake,Bakery,2026-03-21,3,120.00,0
SALE-00317,PKT-01,phuket town,Phuket,South,mineral water,BEVERAGE,2026-04-22,3,26.25,5
SALE-00038,KKN-01,Khon Kaen Center,Khon Kaen, Northeast ,Travel Mug,Merchandise,2026-04-09,6,320.00,5
SALE-00308,BKK-01,Central Rama 9, Bangkok ,Central,Travel Mug,MERCHANDISE,09/06/2026,4,320.00,0
SALE-00026,CBI-01,BANGSAEN,Chonburi,East,Mineral Water, Beverage ,08/05/2026,2,26.25,10
SALE-00240,RYG-01,Rayong City,Rayong,East,Mineral Water,Beverage,14/05/2026,5,25.00,0
SALE-00202,CMI-01,NIMMAN,Chiang Mai,North,Cookie Box,Bakery,2026-04-09,8,142.50,10
SALE-00235,PKT-01,Phuket Town, Phuket ,South,COOKIE BOX,Bakery,10/03/2026,3,150.00,0
SALE-00071,BKK-02,Siam Square,Bangkok, Central ,Thai Milk Tea,BEVERAGE,25/06/2026,6,73.50,0
SALE-00100,CBI-01,Bangsaen,Chonburi,East,Travel Mug,Merchandise,07/04/2026,3,336.00,0
SALE-00211,BKK-02,Siam Square,BANGKOK,Central,Mineral Water,Beverage,2026-04-29,5,26.25,10
SALE-00301,CBI-01,Bangsaen,Chonburi,East,Butter Croissant,Bakery,16/05/2026,6,61.75,0
SALE-00262,CBI-01,BANGSAEN,Chonburi,East, Chicken Sandwich , Food ,09-Jun-2026,6,95.00,5
SALE-00116,RYG-01,Rayong City,Rayong,East,Travel Mug,Merchandise,11-Mar-2026,5,304.00,0
SALE-00313,PKT-01,Phuket Town,Phuket,South,Caesar Salad,Food,20/03/2026,7,115.50,15
SALE-00291,RYG-01,RAYONG CITY,Rayong, East , Butter Croissant ,Bakery,13/03/2026,4,65.00,10
SALE-00056,RYG-01, Rayong City ,Rayong,East,Caesar Salad,Food,2026-03-31,1,110.00,0
SALE-00193,CBI-01,Bangsaen,Chonburi,East,cookie box, Bakery ,25-Mar-2026,4,157.50,15
SALE-00238,PKT-01,Phuket Town,Phuket,South,Premium Coffee,BEVERAGE,21/06/2026,1,89.25,0
SALE-00219,CBI-01,bangsaen,CHONBURI,East,Chocolate Cake,Bakery,14-Apr-2026,2,114.00,15
SALE-00230,CBI-01,Bangsaen,Chonburi,, Premium Coffee , Beverage ,2026-06-25,2,80.75,0
SALE-00183,PKT-01,Phuket Town,Phuket, South ,Tote Bag,MERCHANDISE,2026-06-19,1,180.00,10
SALE-00030,CMI-01,NIMMAN,Chiang Mai,North,Cookie Box,Bakery,08/04/2026,3,150.00,5
SALE-00004,KKN-01,Khon Kaen Center,Khon Kaen,Northeast, Butter Croissant ,Bakery,17/06/2026,4,61.75,5
SALE-00123,CMI-01,Nimman,Chiang Mai,North,Chicken Sandwich,Food,2026-05-01,6,95.00,10
SALE-00216,CMI-01,nimman,Chiang Mai,North, Butter Croissant ,Bakery,29-Jun-2026,4,61.75,5
SALE-00149,PKT-01,phuket town, Phuket ,South,Caesar Salad,Food,2026-03-14,8,110.00,5
SALE-00257,CBI-02,Pattaya,Chonburi,East,tote bag,Merchandise,11/03/2026,2,189.00,10
SALE-00017,BKK-02,Siam Square,Bangkok,Central,Butter Croissant,Bakery,07/04/2026,1,61.75,15
SALE-00304,CBI-01, Bangsaen , Chonburi ,East,Tote Bag, Merchandise ,06-Apr-2026,2,180.00,10
SALE-00103,CMI-01,Nimman,Chiang Mai,North,Caesar Salad,Food,22/03/2026,6,115.50,0
SALE-00075,BKK-01,Central Rama 9,BANGKOK,Central,Chicken Sandwich,FOOD,2026-03-01,7,95.00,0
SALE-00191,KKN-01,khon kaen center,Khon Kaen,NORTHEAST,Thai Milk Tea,Beverage,09/04/2026,7,70.00,0
SALE-00158,PKT-01,Phuket Town,Phuket,South,Caesar Salad,Food,21/06/2026,8,115.50,10
SALE-00246,RYG-01,Rayong City, Rayong ,East,Butter Croissant,Bakery,2026-04-28,2,68.25,0
SALE-00027,CMI-01,nimman,CHIANG MAI,North,Mineral Water,Beverage,15/04/2026,5,26.25,15
SALE-00316,CBI-01,Bangsaen,Chonburi,East,Thai Milk Tea,Beverage,2026-03-23,1,70.00,0
SALE-00082,BKK-01,Central Rama 9,Bangkok,Central,Cookie Box,Bakery,2026-06-19,1,142.50,5
SALE-00128,RYG-01, Rayong City ,Rayong,East,Premium Coffee, Beverage ,11/06/2026,2,85.00,0
SALE-00028,BKK-02,Siam Square,Bangkok,Central,Cookie Box,Bakery,11-May-2026,8,150.00,15
SALE-00144,CBI-02,Pattaya,CHONBURI,East,Travel Mug,Merchandise,31-May-2026,3,336.00,
SALE-00156,RYG-01,Rayong City,Rayong,East,cookie box, Bakery ,2026-03-25,6,150.00,10
SALE-00249,CBI-01,Bangsaen,Chonburi,East,Mineral Water,Beverage,2026-05-19,2,25.00,0
SALE-00213,BKK-02,Siam Square,Bangkok,Central,butter croissant, Bakery ,13/04/2026,4,65.00,5
SALE-00198,CBI-02, Pattaya ,Chonburi,East,Butter Croissant,Bakery,28-Mar-2026,2,61.75,5
SALE-00172,RYG-01,Rayong City,Rayong,East,Tote Bag,Merchandise,06-Jun-2026,1,189.00,0
SALE-00088,RYG-01,Rayong City,RAYONG,East,Travel Mug,Merchandise,01-Apr-2026,4,336.00,0
SALE-00170,RYG-01,Rayong City,Rayong,East,Cookie Box,Bakery,2026-06-22,1,157.50,0
SALE-00036,CMI-01,Nimman,Chiang Mai,North,Chicken Sandwich,Food,19/05/2026,7,95.00,10
SALE-00315,RYG-01,Rayong City,Rayong,East,Chicken Sandwich,Food,04/04/2026,4,95.00,10
SALE-00003,CMI-01,Nimman,Chiang Mai,North,TOTE BAG,Merchandise,22-Mar-2026,5,180.00,0
SALE-00020,CBI-02,Pattaya,Chonburi,East, Travel Mug ,MERCHANDISE,02-Jun-2026,2,336.00,5
SALE-00312,CMI-01,NIMMAN,Chiang Mai, North ,Thai Milk Tea,Beverage,20-May-2026,7,70.00,15
SALE-00111,CBI-02,Pattaya, Chonburi ,East,Chicken Sandwich,Food,17-Jun-2026,2,90.25,0
SALE-00232,BKK-01,Central Rama 9,Bangkok,Central,Travel Mug,Merchandise,20/06/2026,4,336.00,0
SALE-00152,CBI-01,Bangsaen,Chonburi,East,Butter Croissant,Bakery,03/06/2026,3,68.25,15
SALE-00214,PKT-01,Phuket Town,Phuket,South,Caesar Salad, Food ,2026-04-28,6,104.50,0
SALE-00287,CMI-01,nimman, Chiang Mai ,North,Premium Coffee,Beverage,23/05/2026,3,89.25,15
SALE-00247,BKK-02,Siam Square,Bangkok,Central,Chocolate Cake,Bakery,2026-04-30,4,126.00,0
SALE-00060,CBI-01,Bangsaen,Chonburi,East,Travel Mug,Merchandise,2026-04-25,3,304.00,0
SALE-00096,BKK-02,Siam Square,Bangkok,Central,Caesar Salad,Food,11-Apr-2026,1,110.00,0
SALE-00008,BKK-02,Siam Square,Bangkok,Central,Travel Mug,Merchandise,2026-06-12,8,320.00,15
SALE-00120,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Thai Milk Tea,Beverage,26/03/2026,3,73.50,0
SALE-00034,RYG-01,Rayong City,Rayong,East, Mineral Water ,BEVERAGE,16/03/2026,8,23.75,15
SALE-00267,RYG-01,Rayong City,Rayong,East,Cookie Box,Bakery,02/05/2026,1,150.00,5
SALE-00131,CBI-02,Pattaya,Chonburi,East,TRAVEL MUG,Merchandise,03-May-2026,4,336.00,0
SALE-00142,PKT-01,Phuket Town,Phuket,South,Mineral Water,Beverage,2026-06-24,5,23.75,10
SALE-00106,CBI-01,Bangsaen,Chonburi,East,Travel Mug,Merchandise,2026-04-21,3,336.00,0
SALE-00136,RYG-01,Rayong City,Rayong,East,MINERAL WATER,Beverage,2026-04-03,6,25.00,0
SALE-00294,PKT-01,Phuket Town,Phuket,South,Chicken Sandwich,Food,15/05/2026,6,95.00,15
SALE-00258,CBI-02, Pattaya ,Chonburi,East,chicken sandwich,Food,06-Apr-2026,1,99.75,0
SALE-00029,PKT-01,PHUKET TOWN,Phuket,South, Caesar Salad ,Food,15-Jun-2026,1,110.00,5
SALE-00005,PKT-01, Phuket Town ,Phuket,South,Chocolate Cake,Bakery,09-Mar-2026,7,120.00,0
SALE-00117,CBI-02,PATTAYA,Chonburi,East,Butter Croissant,Bakery,06/05/2026,6,68.25,0
SALE-00033,CBI-01,BANGSAEN,Chonburi,EAST,CHICKEN SANDWICH,Food,13-May-2026,1,95.00,15
SALE-00242,CMI-01,Nimman,Chiang Mai,North,Thai Milk Tea,Beverage,11/06/2026,4,70.00,0
SALE-00083,BKK-02,Siam Square,Bangkok,Central,Chicken Sandwich,Food,25/04/2026,7,95.00,15
SALE-00166,CBI-01,Bangsaen,Chonburi, East ,Tote Bag,Merchandise,2026-05-10,4,171.00,5
SALE-00105,BKK-02,Siam Square,Bangkok,Central,Thai Milk Tea,Beverage,2026-05-14,3,73.50,15
SALE-00177,CBI-01,Bangsaen,Chonburi,East,Mineral Water,Beverage,18/04/2026,1,23.75,10
SALE-00061,RYG-01, Rayong City , Rayong ,East, Thai Milk Tea , Beverage ,2026-06-23,1,73.50,0
SALE-00253,CBI-02,Pattaya, Chonburi ,East, Premium Coffee ,Beverage,2026-04-05,7,80.75,10
SALE-00174,CBI-01, Bangsaen ,Chonburi,East,Chicken Sandwich,Food,21/05/2026,1,90.25,15
SALE-00143,KKN-01,Khon Kaen Center, Khon Kaen ,Northeast, Thai Milk Tea , Beverage ,2026-03-18,7,70.00,0
SALE-00066,CBI-01, Bangsaen ,Chonburi,East,Chicken Sandwich,Food,01-Jun-2026,4,90.25,10
SALE-00288,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,Chocolate Cake,Bakery,22/05/2026,5,114.00,5
SALE-00009,CBI-01,Bangsaen, Chonburi ,East,Chicken Sandwich,Food,18/05/2026,2,95.00,5
SALE-00035,PKT-01,Phuket Town,Phuket,South,Chicken Sandwich,Food,09/04/2026,8,99.75,5
SALE-00055,BKK-01,Central Rama 9,Bangkok,Central,Tote Bag,Merchandise,2026-06-17,8,189.00,0
SALE-00138,BKK-02,Siam Square,Bangkok,Central,Chocolate Cake,Bakery,29-Mar-2026,2,114.00,10
SALE-00104,RYG-01,rayong city,Rayong,East,Chocolate Cake,BAKERY,2026-03-23,4,120.00,5
SALE-00194,PKT-01,Phuket Town,Phuket, South ,Travel Mug,Merchandise,24-Apr-2026,3,336.00,0
SALE-00203,BKK-01,Central Rama 9,Bangkok,CENTRAL,Caesar Salad,Food,05/03/2026,7,104.50,5
SALE-00015,PKT-01,PHUKET TOWN,Phuket,South,Chicken Sandwich,Food,18/06/2026,4,90.25,0
SALE-00244,KKN-01,Khon Kaen Center,KHON KAEN,Northeast,Premium Coffee,Beverage,2026-05-15,2,85.00,15
SALE-00314,BKK-01, Central Rama 9 ,Bangkok,Central,THAI MILK TEA,Beverage,17/03/2026,8,73.50,0
SALE-00187,PKT-01,Phuket Town, Phuket ,South,butter croissant,Bakery,2026-03-03,6,68.25,15
SALE-00318,BKK-02,Siam Square,Bangkok,Central,Caesar Salad,Food,2026-05-25,7,110.00,0
SALE-00024,CBI-01,Bangsaen,Chonburi,East,Travel Mug, Merchandise ,10-Apr-2026,5,320.00,15
SALE-00207,BKK-02,SIAM SQUARE,Bangkok,Central,Mineral Water,Beverage,19/03/2026,8,26.25,15
SALE-00014,CMI-01,nimman,Chiang Mai,North,Chicken Sandwich,Food,08/05/2026,3,95.00,0
SALE-00146,CMI-01,Nimman,Chiang Mai,North,Tote Bag,Merchandise,2026-06-15,2,171.00,0
SALE-00081,CBI-02,Pattaya,Chonburi,East,Thai Milk Tea, Beverage ,29-Mar-2026,2,73.50,0
SALE-00126,CBI-02,Pattaya,Chonburi,East,BUTTER CROISSANT,Bakery,28/06/2026,4,68.25,0
SALE-00229,BKK-01,Central Rama 9,Bangkok,Central, Mineral Water ,Beverage,2026-06-30,2,25.00,0
SALE-00057,CBI-02,PATTAYA,Chonburi,East,Chicken Sandwich, Food ,2026-05-23,4,99.75,0
SALE-00086,RYG-01,Rayong City,Rayong,East,Thai Milk Tea,Beverage,06-May-2026,6,70.00,0
SALE-00095,BKK-02,Siam Square,Bangkok, Central ,Butter Croissant,Bakery,17/04/2026,3,65.00,5
SALE-00293,KKN-01,KHON KAEN CENTER,Khon Kaen,Northeast,Mineral Water,Beverage,2026-04-09,1,25.00,10
SALE-00173,BKK-01,Central Rama 9,Bangkok,Central,Tote Bag,Merchandise,2026-06-16,8,189.00,0
SALE-00260,CBI-02, Pattaya ,Chonburi,East,Caesar Salad,Food,2026-05-06,8,110.00,0
SALE-00097,CMI-01,Nimman,Chiang Mai,North,caesar salad, Food ,21/06/2026,6,110.00,0
SALE-00114,CMI-01,Nimman,Chiang Mai,North,Chocolate Cake,Bakery,18-May-2026,4,114.00,5
SALE-00109,KKN-01,Khon Kaen Center,KHON KAEN, Northeast ,COOKIE BOX,Bakery,2026-05-27,2,150.00,0
SALE-00127,CBI-01,Bangsaen,Chonburi,East,Caesar Salad,Food,2026-06-11,2,110.00,5
SALE-00185,RYG-01,Rayong City,Rayong,East,Chicken Sandwich,FOOD,16/05/2026,3,90.25,0
SALE-00112,BKK-01,Central Rama 9,Bangkok,Central,Chocolate Cake,Bakery,07-May-2026,6,126.00,15
SALE-00064,CMI-01,Nimman,Chiang Mai,NORTH,Chocolate Cake,Bakery,15-Apr-2026,3,120.00,0
SALE-00153,BKK-01,Central Rama 9,Bangkok,Central,Cookie Box, Bakery ,09/04/2026,3,157.50,5
SALE-00011,BKK-01,Central Rama 9,Bangkok,Central,Caesar Salad,Food,14-Jun-2026,8,115.50,15
SALE-00282,CBI-02, Pattaya ,Chonburi,East,Thai Milk Tea,Beverage,19/04/2026,2,70.00,0
SALE-00072,BKK-01,Central Rama 9,Bangkok,Central, Mineral Water ,Beverage,2026-05-21,6,23.75,0
SALE-00160,KKN-01,Khon Kaen Center, Khon Kaen , Northeast ,Mineral Water,Beverage,2026-04-03,3,25.00,10
SALE-00078,CBI-01,Bangsaen,Chonburi,East,Premium Coffee,Beverage,01/05/2026,4,89.25,5
SALE-00050,BKK-01,Central Rama 9,Bangkok,Central, Mineral Water ,Beverage,01/03/2026,6,25.00,0
SALE-00087,CBI-01, Bangsaen ,Chonburi,East,thai milk tea,Beverage,15/03/2026,5,73.50,0
SALE-00299,BKK-01,Central Rama 9,Bangkok,Central,Mineral Water,Beverage,19-May-2026,4,25.00,5
SALE-00228,PKT-01,Phuket Town,Phuket, South ,Chocolate Cake,Bakery,15/06/2026,8,114.00,0
SALE-00069,KKN-01,Khon Kaen Center,Khon Kaen,Northeast,caesar salad,Food,2026-03-11,5,110.00,0
SALE-00281,CBI-02,Pattaya,CHONBURI,East,Cookie Box,Bakery,2026-05-02,2,157.50,0
SALE-00275,CMI-01,Nimman,Chiang Mai,North,Cookie Box,Bakery,2026-05-21,7,157.50,10
